id,pair_abbr,symbol,label,url,notes,added_at
953aadea-53e9-4fa0-bbbd-63cac47391a9,UZ,USDZAR,valid,https://www.tradingview.com/x/wTfMNHJw/,,2025-10-15
d8f7281c-c18c-4b27-9673-9ded7a682d30,XA,XAUUSD,valid,https://www.tradingview.com/x/f2mrjPTx/,,2025-10-15
02c8cbdb-e150-42c8-9176-02c2ac7c453e,UZ,USDZAR,valid,https://www.tradingview.com/x/sKcatRHa/,,2025-10-15
b46f8408-fd86-41b2-b132-9e568a4ec9c1,GU,GBPUSD,valid,https://www.tradingview.com/x/kDF9vPuO/,,2025-10-15
42088fa5-3c25-42f6-8c3f-59b01df83fe8,UZ,USDZAR,valid,https://www.tradingview.com/x/kbiekUTI/,,2025-10-15
5f213947-ff21-4904-90cd-91394ff7d8f2,AC,AUDCAD,valid,https://www.tradingview.com/x/WMh095zT/,,2025-10-15
c9f14310-37df-49b9-968c-004973051bd3,AC,AUDCAD,valid,https://www.tradingview.com/x/Cnu1Se5w/,,2025-10-15
e387b1fa-957f-4c9f-881c-a88d320197bc,AC,AUDCAD,valid,https://www.tradingview.com/x/krAtYw1F/,,2025-10-15
3bb974a9-3055-41c9-bb90-4e4308d51e8e,GU,GBPUSD,valid,https://www.tradingview.com/x/A4MCNoRO/,,2025-10-15
0492e170-d233-4cc8-b526-a1ccb0fdb95f,GU,GBPUSD,invalid,https://www.tradingview.com/x/vdTH9HIa/,Entries at levels to follow rules ,2025-10-15
067d5134-1fe6-45ad-a00b-2a5e9c215f57,XU,XAUUSD,invalid,https://www.tradingview.com/x/ELQLO7zX/,No contradicting trades ,2025-10-15
88a496f3-5b22-44e1-a62c-a50fe7681a42,UZ,USDZAR,invalid,https://www.tradingview.com/x/bURiy3Gw/,B set up,2025-10-15
19b9b70d-cef2-4c94-9584-417b9ca3ec6c,AC,AUDCAD,valid,https://www.tradingview.com/x/bhSOm27z/,,2025-10-15
b174c291-7a65-4040-aa2b-7826d3a79fb9,XU,XAUUSD,valid,https://www.tradingview.com/x/5rE0ugUD/,,2025-10-15
39d67508-d628-479d-87dd-cca767ee146b,AC,AUDCAD,invalid,https://www.tradingview.com/x/pcNp5cN3/,So extended ,2025-10-15
354179b5-9e08-401c-b8c4-de09f1ca017e,UZ,USDZAR,valid,https://www.tradingview.com/x/50zkhYBg/,"See flow of day in London, and just enjoy the ride of the week or day, no fear",2025-10-15
77b0dfe5-43eb-4fbf-9abd-3dd8c8c83d52,UZ,USDZAR,invalid,https://www.tradingview.com/x/cTUojbEJ/,"Be selfish, put your orders at R/S",2025-10-15
